Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Finland,Finland,France,France,Germany,Germany,Italy,Italy,Netherlands,Netherlands,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,Chilli pickle,11.62,145.201,11.62,480.293,11.62,228.054,11.62,480.293,11.62,228.054,11.62,145.201,11.62,480.293
,Chocolate sauce,,,1.3,373.91,1.3,373.91,1.3,373.91,1,477.982,1.3,373.91,1,591.982
,Chutneys,,,0,216.756,0,216.756,0,216.756,0,79.964,,,0,79.964
,"Continental european brown cooked sauce, gravy",,,0.23,167.589,0,20.382,0.23,167.589,0,32.254,0,20.382,0,32.254
,Cream sauce,,,0.24,98.446,1.85,126.049,0.24,98.446,0.24,98.446,1.88,270.073,1.85,126.049
,Curry powder,17.1,2685.844,17.1,2666.694,17.1,2593.422,17.1,2666.694,17.1,2454.844,17.1,2685.844,17.1,3090.334
,Curry sauce,,0.02,10.14,189.747,5.1,226.666,10.14,189.747,5,416.24,5.1,226.659,5,261.787
,Fruit sauce,1.34,136.643,1.34,268.88,1.34,136.643,1.34,268.88,1.34,59.395,1.34,136.643,1.34,52.574
,Fudge sauce,1.3,293.745,1.3,293.745,1.3,293.745,1.3,293.745,1.3,293.745,1.3,293.745,1.3,293.745
,Gravy browning,0,486.77,0,486.77,0,486.77,0,486.77,0,334.87,0,486.77,0,334.87
,Gravy ingredients,0,486.77,0,486.77,0,486.77,0,486.77,0,486.77,0,486.77,0,486.77
,Gravy instant granules,0,486.77,0,486.77,0,486.77,0,486.77,0,170.81,0,486.77,0,264.31
,Gravy thickener,0,50.243,0,50.243,0,50.243,0,50.243,0,9.73,0,50.243,0,9.73
,Hollandaise type sauce,17.8,262.1132,6.29,139.59,10.3,199.803,6.29,139.59,12.1,293.225,17.8,262.1132,12.1,293.225
,Horseradish sauce,,,0,857.33,0,857.33,0,857.33,0,325.58,,,0,325.58
,Lime pickle,0,447.26,0,447.26,0,447.26,0,447.26,0,447.26,0,447.26,0,447.26
,Malt extract,0,471,0,471,0,471,0,471,0,471,0,471,0,471
,Mango chutney,,,0,217.389,0,217.389,0,217.389,0,80.5,,,0,80.5
,Mango pickle,0,293.33,0,293.33,0,293.33,0,293.33,0,293.33,0,293.33,0,293.33
,Mayonnaise sauce,54.6,128.8,3.89,100.373,2.6,128.447,3.89,112.983,4,106.646,9.6,128.8,5,69.69
,"Mayonnaise, low fat",47.6,188.7319,10,18.558,2.2,56.588,10,18.558,3,69.494,1.4,53.8119,3,74.887
,Meat extract,28.6,942.61,27.6,1488.1,27.6,1488.1,0,1014.68,28.6,942.553,28.6,942.553,35.6,1582.23
,Mint sauce,0,410.9,0,410.9,0,410.9,0,410.9,0,410.9,0,410.9,0,410.9
,Miscellaneous savoury extracts,0,1474.3,0,1474.3,0,1474.3,0,1474.3,1,3365.43,0,1474.3,1,3365.43
,Mixed and other not listed condiments,3.5,141.5573,2.2,371.46,3.5,622.8673,2.2,371.46,3.5,622.8673,3.5,141.5573,2.2,91.1
,Mixed herbs and spices,0,3774.328,0,3774.328,0,3774.328,0,780.137,0,4124.598,0,3774.328,0,4124.598
,Mushrooms cooked sauce,16.4,423.9772,0.64,153.03,2.38,31.724,0.64,153.03,0.64,153.03,2.49,360.1472,2.38,31.724
,Mustard and related sauces,6,446.037,6,727.294,6,540.12,6,727.294,6,381.307,6,446.037,6,553.36
,"Mustard, hot",6,446.137,6,543.99,6,543.99,6,543.99,6,385.847,6,446.137,6,553.46
,"Mustard, mild",27.8,345.79,6,540.037,6,540.037,6,540.037,6,801.77,6,957.65,6,801.77
,"Mustard, sweet",6,558.927,6,530.037,6,530.037,6,530.037,6,385.487,6,558.927,6,385.487
,Oyster sauce,58,769.111,58,769.111,58,769.111,58,769.111,63,321.528,58,769.111,63,321.528
,Pesto,148.19,757.7205,213.35,478.983,208.75,869.426,213.35,478.983,38.63,755.294,277.83,476.4305,209.75,1261.084
,Piccalilly pickle,0,80.06,0,80.06,0,80.06,0,80.06,0,80.06,0,80.06,0,80.06
,Pickles,0,184.437,0,128.39,0,184.437,0,128.39,0,103.96,0,184.437,0,128.39
,Pickling spice,0,1785.532,0,1785.532,0,1785.532,0,1785.532,0,1785.532,0,1785.532,0,1785.532
,Salad dressing,11.6,51.748,12.6,75.715,14,104.076,12.6,75.715,14,74.224,11.6,51.768,14,86.9
,"Salad dressing, low fat",23.1,43.5385,24.6,103.191,24.3,208.111,24.6,103.191,24,184.331,23.1,43.5385,24,199.731
,Salsa,0.2,327.0649,0.4,91,0.4,343.34,0.4,91,0.4,343.34,0.2,327.0649,0.4,343.34
,Salt,0,440.79,1,325.47,0.5,520.25,0,87.48,0.5,3.21,0,477.79,0.5,87.48
,"Salt, flavoured",0.4,779.0234,0,727.175,0,727.175,0,727.175,0,727.175,0,5359.8734,0,727.175
,"Salt, iodised",0.5,291.06,0.5,524.25,0.5,524.25,0.5,524.25,0.5,10.21,0,291.06,0.5,10.21
,"Salt, iodised and fluoridated",0,524.25,0,524.25,0,524.25,0,524.25,0,524.25,0,524.25,0,524.25
,"Salt, low sodium",1.2,19124.36,1.2,45000,1.2,45000,1.2,45000,1.2,34600,1.2,19124.36,1.2,34600
,Sea salt,,0,0,287.32,0,148.217,0,287.32,0,148.22,0,148.24,0,148.22
,Seasoning mixes,,,16.8,2035.567,16.8,1785.532,16.8,2035.567,16.8,1698.099,,,16.8,1698.099
,Soy sauce,1,232.78,58.5,467.61,58.5,769.111,58.5,637.25,58.5,602.54,1,610.81,58.5,288.59
,"Stock cube or granulate, beef",0.6,951.84,0.6,978.085,0,1488.1,0.6,978.085,0.6,143.11,0.6,951.87,0,809.65
,Stock cubes or granulate (bouillon base),1.9,628.27,0.6,978.315,0,1025.094,0,5.61,0.6,136.11,1.9,628.3,0.6,136.11
,"Stock cubes or granulate (bouillon base), QUAL Low sodium / reduced salt",1.7,2391.6267,1.7,2391.5567,1.7,2391.3267,1.7,2391.3367,1.7,2391.4267,1.7,2391.6267,1.7,2391.4267
,"Stock cubes or granulate, chicken",1.7,391.9298,0.1,10.66,0.5,1489.65,0.1,10.66,0.5,131.07,1.7,391.9298,0.5,778.5
,"Stock cubes or granulate, vegetables",0.4,521.4718,0,4.52,0,1486.75,0,618.48,0,129.4,0.4,521.4718,0,607.85
,Tabasco sauce,0,1234.526,0,1234.526,0,1234.526,0,1234.526,0,1234.526,0,1234.526,0,1234.526
,Tartar sauce,7.1,198.2145,1,121.39,1,121.39,1,121.39,1,121.39,7.1,198.2145,1,121.39
,Teriyaki sauce,3.89,239.831,3.39,769.111,3.39,769.111,3.39,769.111,3.39,769.111,3.39,239.831,3.39,769.111
,Tomato chutney,4,229.652,3.91,460.86,4,229.652,3.91,460.86,4,356.16,4,229.652,4,356.16
,Tomato ketchup and related sauces,0.6,491.077,0.4,572.107,0.4,441.693,0.4,92.817,0,416.307,0.4,467.817,0,417.47
,Tomato-containing cooking sauces,12.3,381.5497,15.7,464.18,12,276.64,15.7,464.18,12,254.924,,0.01,12,579.542
,Vegetable savoury extracts,0,246.689,0,246.689,0,246.689,0,246.689,0,246.689,0,246.689,0,246.689
,Vegetables-based cooked sauce,,,11.64,153.13,11,193.235,11.64,153.13,11,255.311,11,193.235,11,255.311
,Vinegar,0,155.516,0.1,155.553,0.1,158.673,1,141.173,1,51.21,0,155.516,1,51.243
,"Vinegar, apple",0.1,15.9366,1,135.873,1,135.873,1,135.873,1,51.243,0,34.3366,1,51.243
,"Vinegar, wine",0.1,11.0338,0.1,155.553,1,158.673,0.1,155.553,1,51.243,0,158.6338,1,51.243
,Yeast extract,18.5,3090.1,21,127.43,21,127.43,21,127.43,18,2891.9,18.5,3090.1,22,3371.962
"Starchy roots or tubers and products thereof, sugar plants",Arrowroots,0,1163.356,0,1163.356,0,1163.356,0,1163.356,0,1163.356,0,1163.356,0,1163.356
,"Arrowroots, PROCESS Baking",0,1060.993,0,1060.993,0,1060.993,0,1060.993,0,1060.993,0,1060.993,0,1060.993
,"Arrowroots, PROCESS Cooking in water",0,988.731,0,988.731,0,988.731,0,988.731,0,988.731,0,988.731,0,988.731
,"Arrowroots, PROCESS Steaming",0,988.731,0,988.731,0,988.731,0,988.731,0,988.731,0,988.731,0,988.731
,Cassava roots,0,482.07,0,482.07,0,482.07,0,482.07,0,405.474,0,482.07,0,405.474
,"Cassava roots, PROCESS Baking",0,444.908,0,444.908,0,444.908,0,444.908,0,433.35,0,444.908,0,433.35
,"Cassava roots, PROCESS Cooking in water",0,416.784,0,416.784,0,416.784,0,416.784,0,335.873,0,416.784,0,335.873
,"Cassava roots, PROCESS Steaming",0,416.784,0,416.784,0,416.784,0,416.784,0,335.873,0,416.784,0,417.373
,Fries (finger chips),0.6,584.7818,2.27,706.789,4.3,1025.549,2.27,766.482,4,540.08,0.1,638.5318,4,826.26
,Main-crop potatoes,,,3,446.434,3,446.434,2,667.387,3,541.19,,,3,422.23
,"Main-crop potatoes, PROCESS Baking",2.6,534.4641,2.3,475.278,3,648.914,2.3,658.272,2,416.307,2.6,534.4641,3,428.42
,"Main-crop potatoes, PROCESS Cooking in water",2.6,577.878,2.3,397.623,3,503.533,2.3,330.776,2,415.757,2.6,577.808,3,332.25
,"Main-crop potatoes, PROCESS Steaming",0.6,577.841,3.6,453.11,4,505.079,2,667.28,0,416.507,0.6,577.841,3,332.25
,Mashed potato powder,7.8,2602.0067,0.5,1785.585,0.5,1785.585,0.5,1785.585,1,2175.26,7.8,2602.0067,1,1812.57
,Mexican yam beans,0,226.197,0,226.197,0,226.197,0,226.197,0,226.197,0,226.197,0,226.197
,"Mexican yam beans, PROCESS Cooking in water",0,189.971,0,189.971,0,189.971,0,189.971,0,189.971,0,189.971,0,189.971
,"Mexican yam beans, PROCESS Steaming",0,189.971,0,189.971,0,189.971,0,189.971,0,189.971,0,189.971,0,189.971
,New potatoes,0.6,551.6,1,376.06,1,376.06,1,425.79,1,532.95,0.6,551.6,1,376.06
,"New potatoes, PROCESS Baking",0,415.357,0,415.357,0,415.357,1,417.977,0,415.357,0,415.357,0,415.357
,"New potatoes, PROCESS Cooking in water",0.6,551.5,1,518.23,1,518.23,1,518.23,0,415.657,0.6,551.5,1,518.23
,"New potatoes, PROCESS Steaming",0.6,551.77,1,518.23,0.6,337.204,1,518.23,0,415.674,0.6,551.77,1,518.23
,Pan-fried potato,2.9,681.4359,4.2,718.742,4,530.928,4.2,664.71,2,397.094,2.9,681.4359,4,837.788
,Potato baked,0.8,723.1547,2.3,475.328,2,648.964,2,671.751,2,416.307,0.1,582.1447,2,416.66
,Potato boiled,0.6,577.808,2.3,397.823,2,503.616,2,667.446,2,415.974,0.1,398.371,2,416.117
,Potato crisps or sticks,13.8,1447.52,11.2,1413.685,11.3,1278.993,11.2,1309.65,10,1300.73,11.9,1081.39,10.6,1249.75
,Potato flakes,2.5,1561.911,2.5,1784.282,2.5,1784.282,0,1870.237,2.5,1784.282,2.5,1561.911,2.5,1784.282
,Potato flour,0.4,72.964,0.4,65.376,0.4,65.376,0.4,65.376,0,64.01,0.4,72.964,0,64.01
,Potato starch,1,167.09,0,65.376,0,65.376,0,58.863,0,64.08,1,167.09,0,64.08
,Potato starch-based snacks,3.1,327.4348,3,918.73,2.8,447.334,3,918.73,3,1298.73,3.1,327.4348,3,1028.19
,Sweet potatoes,0.6,441.718,1,441.475,1,441.475,1,441.475,1,464.674,0.6,441.718,1,464.48
,"Sweet potatoes, PROCESS Baking",0.7,480.2351,0.2,453.066,1,518.09,0.2,453.066,1,420.781,,,1,607.821
,"Sweet potatoes, PROCESS Cooking in water",0.6,441.682,0.2,453.066,1,407.966,0.2,453.066,1,420.37,,,1,420.35
,"Sweet potatoes, PROCESS Steaming",0.6,441.682,0.2,453.066,1,407.966,0.2,453.066,1,420.581,0.6,441.682,1,440.641
,Tannias,0,573.14,0,573.14,0,573.14,0,573.14,0,558.56,0,573.14,0,573.14
,"Tannias, PROCESS Baking",0,812.9,0,812.9,0,812.9,0,812.9,0,812.9,0,812.9,0,812.9
,Tapioca starch,0,48.315,0,48.315,0,48.315,0,48.315,0,78.785,0,48.315,0,78.785
,Tapioca starch-based snacks,3,263.83,3,263.83,3,263.83,3,263.83,3,263.83,3,263.83,3,263.83
,Taros,0,763.325,0,763.325,0,763.325,0,763.325,0,482.079,0,763.325,0,482.079
,"Taros, PROCESS Baking",0,577.05,0,577.05,0,577.05,0,577.05,0,577.05,0,577.05,0,577.05
,"Taros, PROCESS Cooking in water",0,654.999,0,654.999,0,654.999,0,654.999,0,317.401,0,654.999,0,317.401
,"Taros, PROCESS Steaming",0,654.999,0,654.999,0,654.999,0,654.999,0,317.401,0,654.999,0,441.301
,Yams,1,485.817,1,485.817,1,485.817,1,485.817,1,439.707,1,485.817,1,439.707
,"Yams, PROCESS Baking",0,442.321,0,442.321,0,442.321,0,442.321,0,588.585,0,442.321,0,588.585
,"Yams, PROCESS Cooking in water",0,411.193,0,411.193,0,411.193,0,411.193,0,306.963,0,411.193,0,306.963
,"Yams, PROCESS Steaming",0,411.193,0,411.193,0,411.193,0,411.193,0,306.963,0,411.193,0,427.143
"Sugar, confectionery and water-based sweet desserts",Basic sweet masses,0.4,5.7584,2,888.187,2,888.187,2,888.187,2.2,884.75,0.4,5.7584,2.2,884.75
,Bitter chocolate,0.5,741.97,6.77,1261.967,8.2,2839.364,6.77,1261.967,4.29,697.741,0.5,741.97,7.29,700.497
,"Bitter chocolate, QUAL Sugar free",4.29,796.858,3.77,1159.35,4.29,796.858,3.77,1159.35,4.29,796.858,4.29,796.858,4.29,796.858
,Bitter-sweet chocolate,12.2,480.457,9.9,1859.915,9.9,1859.915,9.4,746.983,4.5,73.665,12.2,480.457,9,268.98
,"Bitter-sweet chocolate, QUAL Sugar free",4.29,796.858,4.29,796.858,4.29,796.858,4.29,796.858,4.29,796.858,4.29,796.858,4.29,796.858
,"Caramel, hard",0,215.957,1,19.277,1,19.277,1,3.177,1,167.857,0,244.357,1,151.857
,"Caramel, hard, QUAL Low / Reduced sugar",0,329.222,0,4.041,0,4.041,0,4.041,0,4.041,0,329.222,0,4.041
,"Caramel, hard, QUAL Sugar free",0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041
,"Caramel, soft",0,115.8,0.5,186.5,0.5,186.5,0.5,186.5,1,230.14,0,144.2,1,214.14
,"Caramel, soft, QUAL Low / Reduced sugar",0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041
,"Caramel, soft, QUAL Sugar free",0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041
,Chewing gum,0,1360.517,0.6,58.807,1,12.097,0.6,58.807,0,1879.1,0,1360.517,0,1879.1
,"Chewing gum, QUAL Low / Reduced sugar",0,28.097,0,28.097,0,28.097,0,28.097,0,28.097,0,28.097,0,28.097
,"Chewing gum, QUAL Sugar free",0,1360.517,0.5,283.157,1,12.097,0.5,283.157,0,5.157,0,1360.517,0,5.157
,Chocolate and chocolate products,5,978.442,4.8,762.301,7.2,1061.937,2,547.987,8.58,828.671,5,978.442,7,886.867
,"Chocolate and chocolate products, QUAL Low / Reduced sugar",2.7,1836.75,2.7,1836.75,2.7,1836.75,2.7,1836.75,2.7,1836.75,2.7,1836.75,2.7,1836.75
,"Chocolate and chocolate products, QUAL Sugar free",6.7,787.75,6.7,787.75,6.7,787.75,6.7,787.75,10.58,968.366,6.7,787.75,6.58,792.175
,Chocolate coated confectionery,,,6.4,412.321,5.5,887.717,6.4,626.441,5.06,343.394,1.56,375.013,5.06,601.91
,Cream chocolate,4.5,937.797,8,1074.486,8,1074.486,5.5,777.68,2,434.37,4.5,937.797,5,744.24
,Dessert halva,2,131.297,2,131.297,2,131.297,2,131.297,2,115.237,2,131.297,2,115.237
,"Drag�e, sugar coated",,,1.2,986.995,1.2,986.995,1.2,986.995,1,10.925,,,1,10.925
,"Drag�e, sugar coated, QUAL Low / Reduced sugar",0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041
,"Drag�e, sugar coated, QUAL Sugar free",0,4.041,0,4.041,0,4.041,0,4.041,0,14.307,0,4.041,0,14.307
,Filled chocolate,,,,,6.5,600.45,,,2,434.58,,,7,584.777
,Foamed sugar products (marshmallows),0,46.433,2,32.033,2,32.033,2,32.033,2,28.133,0,46.433,2,12.833
,Fructose,0.5,0.71,0.5,0.09,0.5,3.325,0,0,0.5,1.01,0,0.41,0.5,1.01
,Fudge,0.5,396.62,0.5,396.5,0.5,396.5,0.5,396.5,1,254.14,0.5,396.62,1.3,385.98
,Gelatine dessert,0.3,39.2562,4.59,208.888,0,7.062,4.59,196.188,0,16,0.3,61.2562,0,16.41
,"Gelatine dessert, QUAL Sugar free",0,8.062,0,8.062,0,8.062,0,8.062,0,8.062,0,8.062,0,8.062
,Glucose,0,3.325,0,3.325,0,3.325,0,3.325,0,2.11,0,3.325,0,24.61
,Granita,,0,,0,,0,,0,,0,,0,,0
,Gum drops,0,18.12,0,28.64,0,28.64,0,28.64,0,26.722,0,18.12,0,26.722
,"Gum drops, QUAL Sugar free",20,564.66,20,564.66,20,564.66,20,564.66,20,564.66,20,564.66,20,564.66
,Hard candies,1,141.092,1.8,119.715,0,28.277,1.8,119.715,0,14.407,,,0,27.647
,"Hard candies, QUAL Low / Reduced sugar",0,4.041,0,4.041,0,4.041,0,4.041,0,14.307,0,4.041,0,14.307
,"Hard candies, QUAL Sugar free",20,371.677,1,2.041,1,2.041,1,2.041,0,95.307,20,400.077,0,79.307
,"Honey, polyfloral",0.5,75.897,1.4,75.379,0,59.983,1.4,66.219,0,69.619,0.5,75.897,1,76.649
,Jelly candies,0.4,40.22,0.8,96.734,0,28.64,0.8,96.734,0,20.58,0,154.91,0,19.57
,Liquorice candies,1,300.507,1,262.407,1,262.407,0,823.104,1,484.117,1,300.507,1,899.444
,"Liquorice candies, QUAL Sugar free",1,506.9,1,506.9,1,506.9,1,506.9,1,506.9,1,506.9,1,506.9
,Marzipan,2.3,852.53,2.6,748.518,1,607.815,2.6,748.518,1.05,657.709,1,728.35,1,434
,Marzipan raw mass,1,730.04,2,888.187,2,888.187,2,888.187,1.05,658.929,2,888.187,2.2,884.75
,Milk chocolate,4,1216.399,5.89,701.104,7.2,1061.937,5.89,956.104,8.58,828.911,2,828.789,7,886.867
,"Milk chocolate, QUAL Low / Reduced sugar",2.7,1836.75,2.7,1836.75,2.7,1836.75,2.7,1836.75,2.7,1836.75,2.7,1836.75,2.7,1836.75
,"Milk chocolate, QUAL Sugar free",10.7,787.75,10.7,787.75,10.7,787.75,10.7,787.75,10.58,968.366,10.7,787.75,10.58,968.366
,Molasses,0,2151.977,0,2151.977,0,2151.977,0,2151.977,0,1948.61,0,2151.977,0,1948.61
,Nougat,9.7,867.096,6.61,683.652,6.1,754.358,6.61,671.872,5,626.308,9.7,867.096,6,373.754
,"Nougat, QUAL Low / Reduced sugar",7.2,916.077,7.2,916.177,7.2,916.077,7.2,916.237,7.2,916.107,7.2,916.077,7.2,916.187
,"Nougat, QUAL Sugar free",7.2,916.077,7.2,916.177,7.2,916.077,7.2,916.237,7.2,916.107,7.2,916.077,7.2,916.187
,Nuts-seeds based halva,36.4,1853.443,36.4,124.301,36.4,124.301,36.4,124.301,36.4,815.945,36.4,1853.443,36.4,815.945
,Polyols,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Pralines,1,649.651,2.1,416.841,2.1,416.841,2.1,416.841,3,434.65,1,649.651,2,497.03
,Sorbet,2.4,156.1634,2.54,416.216,1,61.601,2.54,78.365,0,45.552,0.2,127.3934,1,57.592
,Sucrose (common sugar),0.5,2.81,0.3,5.699,0,3.325,0.3,4.839,0,6.13,0.5,2.81,0,18.42
,Sweet confectionery-deprecated,1,141.092,0.8,95.401,0,28.277,0.8,95.401,0,14.407,1,141.092,0,30.317
,"Sweet confectionery-deprecated, QUAL Low / Reduced sugar",0,4.351,0,4.041,0,4.041,0,4.181,0,4.151,0,4.111,0,4.041
,"Sweet confectionery-deprecated, QUAL Sugar free",20,565.078,0,4.041,0,4.041,0,4.041,0,14.307,20,565.078,0,14.307
,Syrups,1,332.95,2.2,54.769,1,297.797,2.2,54.769,,,1,332.95,1,75.757
,Toffee,0.5,242.16,1,396.5,1,396.5,1,396.5,1,254.34,1.1,283.7,1,254.32
,"Toffee, QUAL Low / Reduced sugar",0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041
,"Toffee, QUAL Sugar free",0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041,0,4.041
,White chocolate,6.8,880.74,8,869.68,13.3,610.307,5,855.68,13.67,983.161,9.03,718.84,13.67,881.69
Vegetables and vegetable products,Alfalfa sprouts,31.5,211.78,1,211.789,1,211.789,,184.423,1,211.663,1,211.88,1,211.663
,"Alfalfa sprouts, PROCESS Cooking in water",30.5,195.519,0,195.519,0,195.519,0,195.519,0,195.519,0,195.519,0,195.519
,"Alfalfa sprouts, PROCESS Steaming",30.5,299.017,0,221.85,0,221.85,0,221.85,0,299.017,0,299.017,0,221.85
,Angelica (leaves and stems),0.1,1080.864,0.1,1080.864,0.1,1080.864,0.1,1080.864,0.1,1080.864,0.1,1080.864,0.1,1080.864
,Aniseed myrtle,310.1,381.023,310.1,381.023,310.1,381.023,310.1,381.023,310.1,381.023,310.1,381.023,310.1,381.023
,Asparagus,39.2,376.36,40,295.045,40,295.045,40,314.571,40,304.363,39.2,376.36,40,376.45
,"Asparagus, PROCESS Baking",43,325.369,43,325.369,43,325.369,43,325.369,43,325.369,43,325.369,43,325.369
,"Asparagus, PROCESS Cooking in water",,,39.6,195.498,40,210.111,39.6,195.498,40,297.58,0.2,183.597,40,312.19
,"Asparagus, PROCESS Steaming",,,43.8,311.56,42,287.123,43.8,311.56,42,297.58,0.2,183.632,42,312.19
,Aubergines,1.4,261.67,2,251.557,2,251.557,2,246.504,1,234.67,1.4,261.67,2,248.433
,"Aubergines, PROCESS Baking",1.5,312.55,1.5,164.183,1.5,277.85,1.5,164.183,1.5,312.55,1.5,312.55,1.5,277.85
,"Aubergines, PROCESS Cooking in water",2,225.478,1.5,163.783,2,225.478,1.5,163.783,2,231.509,2,225.478,2,231.509
,"Aubergines, PROCESS Frying",16.7,225.9054,17.4,217.617,16.7,192.108,17.4,217.617,16.7,192.108,16.7,225.9054,17.4,217.617
,"Aubergines, PROCESS Steaming",2,277.667,2,277.667,2,277.667,2,277.667,2,231.606,2,277.667,2,231.606
,Bamboo shoots,1,39.143,6,541.793,6,541.793,6,541.793,6,541.793,1,39.143,6,541.793
,"Bamboo shoots, PROCESS Cooking in water",6,588.427,6,318.347,6,318.347,6,318.347,6,610.043,6,588.427,6,588.423
,"Bamboo shoots, PROCESS Frying",0.046,414.427,0.046,414.427,0.046,414.427,0.046,414.427,0.046,414.427,0.046,414.427,0.046,414.427
,"Bamboo shoots, PROCESS Steaming",6,588.427,6,318.347,6,318.347,6,318.347,6,610.043,6,588.427,6,588.423
,Basil,0.4,606.793,0.3,725.568,0.1,607.78,0.3,677.873,310.1,608.183,0.3,772.653,0.1,607.78
,Beans (with pods) and similar-,0.5,347.17,37,322.06,36,350.698,37,383.76,36,402.44,0.5,347.18,36,308.84
,"Beans (with pods) and similar-, PROCESS Baking",51,1190.389,51,387.561,51,387.561,51,387.561,51,1190.389,51,1190.389,51,387.561
,"Beans (with pods) and similar-, PROCESS Cooking in water",2.7,460.0345,35.4,288.828,35,242.262,35.4,262.887,35,390.638,0.5,182.1115,35,189.437
,"Beans (with pods) and similar-, PROCESS Steaming",38.7,460.0345,36.4,288.925,36,328.515,36.4,262.984,36,390.735,38.7,460.0345,36,189.534
,Beetroots,0.4,526.24,5,490.016,5,490.016,5,362.482,5,465.512,0.8,361.38,5,464.017
,"Beetroots, PROCESS Baking",100.2,575.05,100.3,287.737,100.2,575.05,100.3,287.737,100.2,575.05,100.2,575.05,100.2,575.05
,"Beetroots, PROCESS Cooking in water",5.4,536.9222,5.3,287.003,5,258.631,5.3,287.003,5,411.348,,,5,643.89
,"Beetroots, PROCESS Steaming",5.4,536.9222,5,394.818,5,394.818,5,394.818,5,411.389,,,5,643.931
,Borage,0,675.1,0,675.1,0,675.1,0,675.1,0,675.1,0,675.1,0,675.1
,Broccoli and similar-,110.4,566.09,179,399.31,179,399.31,179,438.387,185,349.939,196.4,566.09,185,540.62
,"Broccoli and similar-, PROCESS Baking",111.1,617.713,1.1,438.613,1.1,438.613,0,444.053,157.1,617.713,197.1,617.713,136.1,438.613
,"Broccoli and similar-, PROCESS Cooking in water",110.4,565.83,0.8,358.663,0,491.998,0.8,358.663,156,553.717,196.4,565.83,135,284.18
,"Broccoli and similar-, PROCESS Frying",188,390.114,188,390.114,188,390.114,188,390.114,188,390.114,188,390.114,188,390.114
,"Broccoli and similar-, PROCESS Steaming",110.4,565.997,0.8,358.88,0,390.114,0.8,358.88,156,553.934,196.4,565.997,135,284.397
,Brussels sprouts,220.3,420.089,155.4,594.56,156,616.198,155.4,578.823,156,579.063,153.3,420.089,156,565.353
,"Brussels sprouts, PROCESS Baking",220.767,333.18,127.767,672.466,127.767,672.466,127.767,672.466,127.767,333.18,127.767,333.18,127.767,672.466
,"Brussels sprouts, PROCESS Cooking in water",220.3,419.816,128.5,346.75,137,489.449,128.5,346.75,137,560.222,127,,137,407.37
,"Brussels sprouts, PROCESS Steaming",0.3,419.726,1.5,432.96,10,407.18,1.5,432.96,10,560.032,,,10,407.18
,Canned mushrooms,2.26,279.839,2.2,215.268,2,339.398,,243.862,2,249.912,2,339.398,2,249.912
,"Canned mushrooms, PROCESS Baking",18,412.302,18,412.302,18,412.302,18,412.302,18,412.302,18,412.302,18,412.302
,"Canned mushrooms, PROCESS Cooking in water",2.26,296.545,2,260.545,2,260.545,2,260.545,2,249.478,2,296.545,2,119.518
,"Canned mushrooms, PROCESS Steaming",2.26,297.914,2,462.839,2,462.839,2,462.839,2,250.778,2,297.914,2,220.988
,Cardoons,0.2,566.166,0.2,503.505,0.2,566.166,0.2,433.86,0.2,503.505,0.2,566.166,0.2,566.166
,"Cardoons, PROCESS Cooking in water",0,402.559,0,402.559,0,402.559,0,402.559,0,402.559,0,402.559,0,402.559
,"Cardoons, PROCESS Steaming",0,402.559,0,402.559,0,402.559,0,402.559,0,402.559,0,402.559,0,402.559
,Carrots,19.2,475.42,15.4,335.427,16,426.146,16,317.364,15,330.784,0.6,269.11,16,214.54
,"Carrots, PROCESS Baking",17,466.289,17,466.289,17,466.289,17,468.228,17,466.289,17,466.289,17,466.289
,"Carrots, PROCESS Cooking in water",16.2,485.091,16.6,175.1,17,247.905,16.6,175.1,16,277.878,16.2,485.091,17,165.77
,"Carrots, PROCESS Frying",0.2,790.76,0.7,327.418,0.2,790.7,0.7,327.418,0.2,790.7,0.2,790.75,0.2,790.7
,"Carrots, PROCESS Steaming",15.2,485.091,15.7,326.868,16,323.215,15.7,326.868,15,277.878,15.2,485.091,16,165.77
,Cauliflowers,20.4,462.06,31.8,338.358,31,370.791,31,495.279,31,386.332,27.5,374.6,31,485.55
,"Cauliflowers, PROCESS Baking",21,386.389,29,407.678,29,407.678,28,421.503,29.5,386.389,28,386.389,29.5,407.678
