Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Finland,Finland,France,France,Germany,Germany,Italy,Italy,Netherlands,Netherlands,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,"Traditional margarine, QUAL Half fat or medium fat",43.1,59.614,86.1,94.54,86.2,76.954,86.1,94.54,45.5,188.2,43.1,59.614,45.5,188.2
,"Traditional margarine, QUAL Low fat (naturally or reduced)",43.1,75.514,86.1,418.51,86.2,76.954,86.1,369.51,45.5,156.7,43.1,58.614,45.5,119.7
,"Traditional margarine, QUAL Low sodium / reduced salt",43,53.321,43,53.321,43,53.321,43,53.321,43,97.17,43,53.321,43,97.17
,Walnut oil,0,0.4,15,10.8,15,1.44,15,10.8,0,0.4,0,0.4,15,1.44
,Wheat germ oil,0,149.001,24,158.651,24,158.651,24,137.801,0,149.001,0,149.001,24,144.551
"Coffee, cocoa, tea and infusions",Camomile infusion,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189
,Chicory coffee infusion,0.9,43.308,1.16,386.214,0.9,43.308,1.16,386.214,0.9,39.328,0.9,43.308,0.9,39.328
,Chicory coffee ingredient,9.4,791.777,9.4,639.48,9.4,791.777,9.4,639.48,9.4,237.63,9.4,791.777,9.4,237.63
,Cocoa beans (fermented or dried),5.2,5159.294,5.2,5159.294,5.2,5159.294,5.2,5159.294,5.2,5159.294,5.2,5159.294,5.2,5159.294
,Cocoa beverages,1.45,416.033,0.2,451.54,1.67,394.367,0.2,451.54,1.08,421.464,1.45,416.033,1.8,421.02
,"Cocoa beverages, QUAL Low / Reduced sugar",3.1,309.357,3.1,309.357,3.1,309.357,3.1,309.357,3.2,409.095,3.1,309.357,3.2,409.095
,"Cocoa beverages, QUAL Sugar free",1.18,324.371,1.1,309.357,1.1,309.357,1.1,309.357,1.4,446.007,1.1,309.357,1.4,446.007
,Cocoa mass,8.4,5159.294,7.2,4779.877,8.4,5159.294,7.2,4779.877,7.2,4779.877,8.4,5159.294,8.4,5159.294
,Cocoa powder,1,4800,6.9,412.246,19.5,5150.967,6.9,874.967,14.3,5303.89,1,4800,18.3,2837.047
,"Cocoa powder, QUAL Low / Reduced sugar",5.2,5155.744,5.2,5155.214,5.2,5155.744,5.2,5155.744,5.2,5155.954,5.2,5155.744,5.2,5155.744
,"Cocoa powder, QUAL Sugar free",5.2,5155.744,5.2,5155.214,5.2,5155.744,5.2,5155.744,5.2,5155.954,5.2,5155.744,5.2,5155.744
,Coffee (average strenght) beverage,,11,0.1,66.847,0.05,77.024,0,124.271,0,88.94,,0,0,110.84
,Coffee (weak strenght) beverage,0,78.699,0,78.699,0,78.699,0,57.624,0,88.731,0,78.699,0,76.74
,"Coffee beans, roasted",10,2566.241,5,2572.7,10,2566.241,5,2572.7,10,2566.241,10,2566.241,10,2566.241
,Coffee beverage decaffeinated,0.1,47.356,0.1,154.357,0.1,77.024,0,129.617,0.1,47.356,0.1,47.356,0.1,77.024
,"Coffee drink, caf� macchiato",0.4,349.44,0.4,349.44,0.4,349.44,0.4,349.44,0.4,349.44,0.4,349.44,0.4,349.44
,"Coffee drink, cappuccino",1.2,221.254,1.2,221.254,1.2,221.254,1.2,221.254,1.21,198.048,1.2,221.254,1.21,198.048
,Coffee espresso (beverage),0,209.62,0,284.6365,0,209.617,0,209.628,0,87.447,0,209.62,0,136.437
,"Coffee ground, roasted",10,2566.241,10,2576.211,10,2566.241,10,2576.211,10,2566.241,10,2566.241,10,2566.241
,"Coffee ground, roasted and decaffeinated",5,2565.9,5,2565.9,5,2565.9,5,2565.9,5,2565.9,5,2565.9,5,2565.9
,Coffee with milk or cream,0,86.118,0.8,222.541,0,86.118,0.8,222.541,0,116.937,0,86.118,0,56.96
,Fermented tea infusion,0.1,41.135,0.1,35.436,0.05,29.431,0,31.247,0,16.138,0.1,41.135,0,78.387
,Flowers used for herbal infusions,0,1073.183,0,1073.183,0,1073.183,0,1073.183,0,1073.183,0,1073.183,0,1073.183
,Fruit infusion,0.1,15.915,0.1,12.189,0.1,12.189,0.1,12.189,0.1,12.189,0.1,15.915,0.1,12.189
,Herbal infusion materials from leaves and herbs,262,2350.582,262,2350.582,262,2350.582,262,2350.582,262,2350.582,262,2350.582,262,2350.582
,Hot chocolate,2.9,406.8951,3.12,432.302,1.3,394.234,3.12,432.302,1.08,421.331,2.9,406.8951,1.8,421.02
,Hot chocolate with added ingredients,0.23,455.84,0.23,455.84,0.23,455.84,0.23,455.84,0.23,455.84,0.23,455.84,0.23,455.84
,"Hot chocolate with added ingredients, QUAL Sugar free",1.1,309.357,1.1,309.357,1.1,309.357,1.1,309.357,1.1,309.357,1.1,309.357,1.1,309.357
,"Hot chocolate, QUAL Low / Reduced sugar",2.3,394.217,2.3,394.217,2.3,394.217,2.3,394.217,2.2,409.32,2.3,394.217,2.2,409.32
,"Hot chocolate, QUAL Sugar free",1.1,309.357,1.1,309.357,1.1,309.357,1.1,309.357,1.4,446.007,1.1,309.357,1.4,446.007
,Instant coffee (beverage),0.03,41.284,0.1,40.3515,0.03,46.358,0,40.3,0,170.765,0.03,41.284,0,40.56
,Instant coffee powder,,0.07,8.7,4689.168,9,4910.712,9,4594.29,3,4931.04,3,4931.04,9,4594.29
,"Instant coffee powder, decaffeinated",17.3,4271.906,17.3,4272.568,17.3,4272.568,17.3,4272.532,17.3,4271.906,17.3,4271.906,17.3,4272.568
