Food class level 1,Metrics,Concentration levels,Concentration levels,Concentration levels,Concentration levels
,Country,Sweden,Sweden,United Kingdom,United Kingdom
,Food (FoodEx2 description),Microgram/100 gram,Milligram/100 gram,Microgram/100 gram,Milligram/100 gram
,"Bovine meat, dried, PROCESS Steaming",1.8,216.06,1.8,216.06
,Bovine stomach,0,133.903,0,133.903
,"Bovine stomach, PROCESS Baking",0,132.791,0,132.791
,"Bovine stomach, PROCESS Cooking in water",0,132.791,0,132.791
,"Bovine stomach, PROCESS Frying",0,132.791,0,132.791
,"Bovine stomach, PROCESS Steaming",0,132.791,0,132.791
,Bovine tail,2.2,591.878,3,477.18
,"Bovine tail, PROCESS Cooking in water",1.8,546.977,2,365.56
,"Bovine tail, PROCESS Frying",2.3,661.329,2.3,661.329
,"Bovine tail, PROCESS Steaming",1.8,546.977,2,365.56
,Bovine tongue,18.5,469.37,6.9,488.415
,"Bovine tongue, PROCESS Baking",6.4,426.614,6.4,426.614
,"Bovine tongue, PROCESS Cooking in water",23.9,672.4569,6.2,316.899
,"Bovine tongue, PROCESS Frying",6.4,427.364,6.4,427.364
,"Bovine tongue, PROCESS Steaming",23.9,672.4569,6.2,316.899
,Breakfast-type sausage,6.66,497.6,14,458.13
,"Breakfast-type sausage, PROCESS Baking",16.3,386.361,16,544.89
,"Breakfast-type sausage, PROCESS Cooking in water",15.1,386.361,15.1,386.658
,"Breakfast-type sausage, PROCESS Frying",7,533.6,7,533.9
,"Breakfast-type sausage, PROCESS Steaming",10.3,386.361,10.3,386.658
,Canned meat,20.6,577.12,7.44,270.261
,"Cervelat (swiss type), PROCESS Baking",10.9,344.138,13,417.911
,"Cervelat (swiss type), PROCESS Cooking in water",0.9,445.075,10.9,344.138
,"Cervelat (swiss type), PROCESS Steaming",0.9,445.075,10.9,344.138
,"Cervelat (swiss type), QUAL Low fat (naturally or reduced), PROCESS Baking",0.5,508.982,0.5,508.982
,"Cervelat (swiss type), QUAL Low fat (naturally or reduced), PROCESS Cooking in water",0.5,508.982,0.5,508.982
,"Cervelat (swiss type), QUAL Low fat (naturally or reduced), PROCESS Steaming",0.5,508.982,0.5,508.982
,Chicken fresh meat,13.3,404.037,12.2,641.57
,"Chicken fresh meat, PROCESS Baking",18.4,780.61,16.29,604.62
,"Chicken fresh meat, PROCESS Cooking in water",15.2,308.848,15.2,470.51
,"Chicken fresh meat, PROCESS Frying",,,15.29,762.49
,"Chicken fresh meat, PROCESS Steaming",15.3,499.808,15.2,470.51
,Chicken liver,152,811.005,164,601.393
,"Chicken liver, PROCESS Baking",120.1,489.274,120.1,489.274
,"Chicken liver, PROCESS Cooking in water",88.1,396.914,88.1,396.914
,"Chicken liver, PROCESS Frying",117.9,489.274,140,719.16
,"Chicken liver, PROCESS Steaming",90.3,396.914,90.3,396.914
,"Chicken, other organs (edible offal non-muscle)",87.29,405.416,94,474.51
,"Chicken, other organs (edible offal non-muscle), PROCESS Baking",117.9,486.811,117.9,486.811
,"Chicken, other organs (edible offal non-muscle), PROCESS Cooking in water",117.9,486.811,110,546.865
,"Chicken, other organs (edible offal non-muscle), PROCESS Steaming",117.9,486.811,110,546.865
,Chorizo and similar,11.96,510.553,25.92,613.595
,"Chorizo and similar, QUAL Low fat (naturally or reduced)",8.9,382.323,16,751.519
,Cooked bovine tongue,6.4,426.964,7.2,296.661
,"Cooked bratwurst-type sausage, PROCESS Baking",5.7,375.019,5,431.792
,"Cooked bratwurst-type sausage, PROCESS Cooking in water",,,10.5,375.019
,"Cooked bratwurst-type sausage, PROCESS Steaming",5.7,375.019,5.7,375.019
,"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",3.7,571.472,3.7,571.472
,"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",3.7,571.472,3.7,571.472
,"Cooked bratwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",3.7,571.472,3.7,571.472
,Cooked other poultry meat,,,11,767.07
,Cooked pork ham,6.8,545.95,12,724.84
,Cooked pork tongue,15.7,516.33,12.7,484.248
,"Cooked sausages (generic), QUAL Low fat (naturally or reduced)",18.4,513.024,15.75,452.7
,"Cooked sausages (generic), QUAL Low sodium / reduced salt",9.9,425.827,9.9,425.827
,Cooked turkey meat,5.4,525.624,12.3,687.31
,"Corned beef, uncooked",,,9,320.427
,"Corned beef, uncooked, PROCESS Baking",1,399.899,1,399.899
,"Corned beef, uncooked, PROCESS Cooking in water",9,402.132,10,330.35
,"Corned beef, uncooked, PROCESS Frying",1,399.899,1,399.899
,"Corned beef, uncooked, PROCESS Steaming",9,402.132,10,330.35
,"Corned pork meat, cooked",10.83,656.969,10.83,656.969
,"Corned pork, uncooked, PROCESS Baking",0.4,346.748,0.4,346.748
,"Corned pork, uncooked, PROCESS Cooking in water",0.4,346.748,0.4,346.748
,"Corned pork, uncooked, PROCESS Steaming",0.4,346.748,0.4,346.748
,Cured pork fat,7.6,61.512,7.6,61.512
,Cured seasoned poultry meat,0.4,554.131,0.4,554.131
,"Cured seasoned poultry meat, PROCESS Baking",18.3,500.632,18.3,556.491
,"Cured seasoned poultry meat, PROCESS Cooking in water",0.3,500.632,0.3,500.632
,"Cured seasoned poultry meat, PROCESS Steaming",0.3,500.632,0.3,500.632
,"Deer, fallow fresh meat",10,527.553,10,590.773
,"Deer, fallow fresh meat, PROCESS Baking",1.2,661.623,1.2,661.623
,"Deer, fallow fresh meat, PROCESS Cooking in water",0.7,383.934,0.7,383.934
,"Deer, fallow fresh meat, PROCESS Steaming",0.7,383.934,0.7,383.934
,"Deer, red fresh meat",12.21,582.1,10,590.773
,"Deer, red fresh meat, PROCESS Baking",,,1.2,661.623
,"Deer, red fresh meat, PROCESS Cooking in water",,,0.7,383.934
,"Deer, red fresh meat, PROCESS Steaming",,,0.7,383.934
,Dry and fermented sausages-deprecated,18.5,510.546,19,533.24
,"Dry and fermented sausages-deprecated, QUAL Low fat (naturally or reduced)",11.92,454.275,11.92,454.275
,Duck fresh meat,36.3,513.625,38,342.743
,"Duck fresh meat, PROCESS Baking",,,25,453.138
,"Duck fresh meat, PROCESS Cooking in water",,,1.2,380.039
,"Duck fresh meat, PROCESS Steaming",,,1.2,380.039
,Duck liver,54,597.769,54,597.769
,"Duck liver, PROCESS Baking",115,619.86,115,619.86
,"Duck liver, PROCESS Frying",,392.69,,392.69
,Equine fresh meat,6,671.5,6,551.68
,"Equine fresh meat, PROCESS Baking",20,652.605,13.1,806.613
,"Equine fresh meat, PROCESS Frying",2.6,583.94,2.6,583.94
,European moose meat,12.73,563.31,12.73,563.31
,"European moose meat, PROCESS Baking",12.9,944.4031,12.9,944.4031
,"European moose meat, PROCESS Frying",,,,
,"Frankfurt-type sausage, PROCESS Baking",9.9,335.204,9,402.302
,"Frankfurt-type sausage, PROCESS Cooking in water",3.1,411.66,7.44,269.931
,"Frankfurt-type sausage, PROCESS Steaming",8.8,415.604,7.44,269.564
,"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",15.4,534.859,15.4,534.859
,"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",22.4,534.859,21.44,308.762
,"Frankfurt-type sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",22.4,534.859,21.44,308.762
,"Frankfurter sausage, PROCESS Baking",8.3,466.5,9,402.302
,"Frankfurter sausage, PROCESS Cooking in water",10.5,374.9723,7.44,269.261
,"Frankfurter sausage, PROCESS Steaming",10.5,374.9723,9,415.604
,"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",15.4,534.859,15.4,534.859
,"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",22.4,534.859,21.44,308.762
,"Frankfurter sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",15.4,534.859,15.4,534.859
,Fresh bratwurst,8.15,526.573,10.69,534.505
,"Fresh bratwurst, PROCESS Baking",10.3,386.658,10,430.612
,"Fresh bratwurst, PROCESS Cooking in water",10.3,386.658,10.3,386.658
,"Fresh bratwurst, PROCESS Steaming",10.3,386.658,10.3,386.658
,Fresh raw sausages,,0.38,6,475.79
,"Fresh raw sausages, PROCESS Baking",16.3,386.658,16,544.89
,"Fresh raw sausages, PROCESS Cooking in water",16.9,386.658,16.9,386.658
,"Fresh raw sausages, PROCESS Frying",16.3,386.658,16,534.113
,"Fresh raw sausages, PROCESS Steaming",10.3,386.658,10.3,386.658
,Fresh smoked sausages-deprecated,7.7,420.495,7.7,420.495
,"Fresh smoked sausages-deprecated, QUAL Low fat (naturally or reduced)",15.4,840.99,15.4,840.99
,"Fresh smoked sausages-deprecated, QUAL Low sodium / reduced salt",7.7,420.495,7.7,420.495
,Fresh spiced sausages in casing,10.69,532.505,10.69,532.505
,"Fresh spiced sausages in casing, PROCESS Baking",13.88,666.33,13.88,666.33
,Game birds fresh meat,13.4,775.087,13,455.659
,"Game birds fresh meat, PROCESS Baking",18.6,1041.1691,22,737.97
,"Game birds fresh meat, PROCESS Cooking in water",,0.24,1.2,378.189
,"Game birds fresh meat, PROCESS Steaming",,0.24,1.2,378.189
,"Generic traditionally farmed mammals, fresh fat tissue",0.2,77.582,0.2,77.582
,"Generic traditionally farmed mammals, fresh fat tissue, PROCESS Cooking in water",1.4,293.37,1.4,293.37
,"Generic traditionally farmed mammals, fresh fat tissue, PROCESS Steaming",1.4,293.37,1.4,293.37
,German salami,26.4,473.391,25.92,473.428
,"German salami, QUAL Low fat (naturally or reduced)",19.1,751.519,18.92,461.116
,Goat fresh meat,3,530.513,1.13,614.593
,"Goat fresh meat, PROCESS Baking",9.1,523.224,9,627.165
,"Goat fresh meat, PROCESS Cooking in water",1.1,794.25,1.1,794.25
,"Goat fresh meat, PROCESS Steaming",1.1,794.25,1.1,794.25
,"Goat liver, PROCESS Baking",152,603.91,152,603.91
,Goose fresh meat,0.3,653.223,2,468.543
,"Goose fresh meat, PROCESS Baking",0.3,888.63,2,593.018
,"Goose fresh meat, PROCESS Cooking in water",,,0.2,471.848
,"Goose fresh meat, PROCESS Steaming",,,0.2,471.848
,Goose liver,21,572.905,21,572.905
,"Goose liver, PROCESS Baking",144,485.03,144,485.03
,"Goose liver, PROCESS Cooking in water",21,566.003,21,566.003
,"Goose liver, PROCESS Frying",21,266.12,21,266.12
,"Grouse fresh meat, PROCESS Baking",21,777.78,21,737.97
,Guinea-fowl fresh meat,0.4,585.373,0.4,585.373
,"Ham, beef",14.5,642.012,16.6,610.177
,"Ham, beef, PROCESS Baking",7.3,610.177,7.3,610.177
,"Ham, beef, PROCESS Cooking in water",7.3,610.177,7.3,610.177
,"Ham, beef, PROCESS Steaming",7.3,610.177,7.3,610.177
,"Ham, pork",26.65,831.83,11.61,356.155
,"Ham, pork, PROCESS Baking",6.7,579.572,15,659.41
,"Ham, pork, PROCESS Cooking in water",26.6,495.82,12.44,460.919
,"Ham, pork, PROCESS Steaming",26.6,495.82,12.44,460.919
,Hare fresh meat,10,573.16,25,671.76
,"Hare fresh meat, PROCESS Baking",6.7,793.9192,19.6,660.033
,"Hare fresh meat, PROCESS Cooking in water",,,4.7,515.981
,"Hare fresh meat, PROCESS Steaming",,,4.7,515.981
,Head cheese,7.9,236.14,12.74,527.614
,Hungarian-type salami,15.4,550.35,15.4,516.619
,"Hungarian-type salami, QUAL Low fat (naturally or reduced)",8.1,751.519,8.1,751.519
,Italian-type salami,6.3,351.6,11,459.545
,"Knackwurst-type sausage, PROCESS Baking",6.6,383.967,6.6,383.967
,"Knackwurst-type sausage, PROCESS Cooking in water",8.4,449.981,7.44,269.101
,"Knackwurst-type sausage, PROCESS Steaming",1.6,445.658,6.6,383.967
,"Knackwurst-type sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",7.44,306.231,7.44,306.231
,Liver based spreadable-textured specialities,,,27,642.98
,Liver cheese,33.7,471.131,38.59,623.046
,Liver-type sausage,23.5,464.2528,30,491.98
,"Liver-type sausage, QUAL Low fat (naturally or reduced)",36.8,450.3163,43.9,779.014
,Luncheon spiced ham-type tinned meat,8.54,468.895,22,376.958
,Mallard fresh meat,0,455.659,3,541.249
,"Mallard fresh meat, PROCESS Baking",1.3,646.492,1.3,646.492
,"Mallard fresh meat, PROCESS Cooking in water",1.2,378.189,1.2,378.189
,"Mallard fresh meat, PROCESS Steaming",1.2,378.189,1.2,378.189
,Matured charcuterie products for cooking,11.5,510.546,11.5,510.546
,Meat based spreadable-textured specialities,14.3,481.993,16,403.534
,Mettwurst-type sausage,8.04,473.217,11.92,475.225
,"Mettwurst-type sausage, QUAL Low fat (naturally or reduced)",48.8,1352.928,47.82,1134.03
,Miscellaneous cooked sausages,15.9,419.406,15.9,419.406
,Mixed beef and mutton/lamb fresh meat,20,623.5178,20,623.5178
,"Mixed beef and mutton/lamb fresh meat, QUAL Half fat or medium fat",,206.04,,206.04
,"Mixed beef and mutton/lamb fresh meat, QUAL Low fat (naturally or reduced)",,215.15,,215.15
,Mixed fresh fat tissue,0.2,76.882,0.2,76.882
,"Mixed fresh fat tissue, PROCESS Baking",141.7,706.84,141.7,706.84
,Mixed fresh meat,22.8,548.917,22.8,548.917
,"Mixed fresh meat, PROCESS Baking",8.3,499.626,9.3,485.937
,"Mixed fresh meat, PROCESS Cooking in water",11.4,534.119,11.4,534.119
,"Mixed fresh meat, PROCESS Steaming",11.4,534.119,11.4,534.119
,"Mixed fresh meat, QUAL Half fat or medium fat",,508.87,,508.87
,"Mixed fresh meat, QUAL Low fat (naturally or reduced)",3,556.95,3,556.95
,Mixed pork and mutton/lamb fresh meat,0.6,489.308,0.6,489.308
,"Mixed pork and mutton/lamb fresh meat, QUAL Half fat or medium fat, PROCESS Cooking in water",22.4,697.4754,22.4,697.4754
,"Mixed pork and mutton/lamb fresh meat, QUAL Half fat or medium fat, PROCESS Steaming",22.4,697.4754,22.4,697.4754
,Mortadella-type sausage,20.3,494.283,21,459.22
,"Mortadella-type sausage, QUAL Low fat (naturally or reduced)",9.8,460.541,9.66,391.32
,Pancetta,,645.495,,645.495
,"Pancetta, PROCESS Baking",1,479.75,1,479.75
,Partridge fresh meat,16.8,804.067,16.8,803.714
,"Partridge fresh meat, PROCESS Baking",0.84,540.459,0.84,825.369
,"Partridge fresh meat, PROCESS Cooking in water",0.43,484.42,0.43,484.42
,"Partridge fresh meat, PROCESS Steaming",0.43,484.42,0.43,484.42
,"Pastrami, beef",1.8,500.96,1.8,500.96
,"Pate, chicken liver",8,642.38,8,642.38
,"Pate, goose liver",82.9,609.946,82.9,609.946
,"Pate, pork liver",36.6,430.52,38.55,387.571
,Pheasant fresh meat,0.8,621.441,3,797.022
,"Pheasant fresh meat, PROCESS Baking",14.47,631.102,17,653.68
,"Pheasant fresh meat, PROCESS Cooking in water",,,0.5,458.338
,"Pheasant fresh meat, PROCESS Frying",0.5,458.338,0.5,458.338
,"Pheasant fresh meat, PROCESS Steaming",,,0.5,458.338
,Pig fresh meat,18.1,468.572,14,617.14
,"Pig fresh meat, PROCESS Baking",0.7,621.8294,17,616.75
,"Pig fresh meat, PROCESS Cooking in water",8.8,454.689,22,566.36
,"Pig fresh meat, PROCESS Frying",22.6,597.2639,21,926.75
,"Pig fresh meat, PROCESS Steaming",25.9,673.719,22,566.36
,Pig kidney,165,550.36,190,522.717
,"Pig kidney, PROCESS Baking",13.5,519.607,13.5,519.607
,"Pig kidney, PROCESS Cooking in water",259.7,409.144,265,580.17
,"Pig kidney, PROCESS Frying",283.5,520.04,298,909.65
,"Pig kidney, PROCESS Steaming",259.7,409.144,265,580.17
,Pig liver,96,897.267,65,762.597
,"Pig liver, PROCESS Baking",25.1,709.896,25.1,709.896
,"Pig liver, PROCESS Cooking in water",76,677.461,76,721.81
,"Pig liver, PROCESS Frying",,,113.4,971.14
,"Pig liver, PROCESS Steaming",76,677.461,76,721.81
,Pig trotters and feet,,311.27,,311.27
,"Pig trotters and feet, PROCESS Cooking in water",1,286.03,1,286.03
,"Pig trotters and feet, PROCESS Steaming",1,286.03,1,286.03
,Pigeon fresh meat,0.5,646.113,0.5,646.113
,"Pigeon fresh meat, PROCESS Baking",0.4,655.324,0,796.13
,"Pigeon fresh meat, PROCESS Frying",0.4,655.324,0.4,655.324
,Polish-type cooked sausage,12,668.46,12,668.46
,Ptarmigan fresh meat,,754.24,,754.24
,Quail fresh meat,0.5,553.997,0.5,553.997
,"Quail fresh meat, PROCESS Baking",0.4,502.713,0.4,502.713
,"Quail fresh meat, PROCESS Cooking in water",0.33,604,0.33,604
,"Quail fresh meat, PROCESS Steaming",0.33,604,0.33,604
,Rabbit fresh meat,6.7,794.9696,27,642.88
,"Rabbit fresh meat, PROCESS Baking",38.4,558.839,38.4,558.839
,"Rabbit fresh meat, PROCESS Cooking in water",22.7,444.995,19,421.986
,"Rabbit fresh meat, PROCESS Steaming",22.7,444.995,19,421.986
,Reindeer meat,36.3,818.807,35,569.307
,"Reindeer meat, PROCESS Baking",36.3,875.1427,34.3,540.134
,"Reindeer meat, PROCESS Cooking in water",48.8,1167.6107,48.8,1167.6107
,"Reindeer meat, PROCESS Frying",,,,
,"Reindeer meat, PROCESS Steaming",48.8,1167.6107,48.8,1167.6107
,Roe deer meat,10,618.827,10.4,618.647
,"Roe deer meat, PROCESS Baking",1.2,708.456,1.2,708.456
,"Roe deer meat, PROCESS Cooking in water",,,0.7,410.573
,"Roe deer meat, PROCESS Steaming",,,0.7,410.573
,Sheep fresh meat,14.5,388.819,4,494.62
,"Sheep fresh meat, PROCESS Baking",14.5,558.61,7,615.27
,"Sheep fresh meat, PROCESS Cooking in water",20.4,625.7415,5,502.93
,"Sheep fresh meat, PROCESS Frying",18.1,525.0342,6,597.57
,"Sheep fresh meat, PROCESS Steaming",20.4,625.7415,5,502.93
,Sheep kidney,213,566.513,167,581
,"Sheep kidney, PROCESS Baking",56.9,537.773,56.9,537.773
,"Sheep kidney, PROCESS Cooking in water",40.8,421.723,40.8,421.723
,"Sheep kidney, PROCESS Frying",265.9,538.756,263,699.29
,"Sheep kidney, PROCESS Steaming",40.8,421.723,40.8,421.723
,Sheep liver,77,718.683,96,753.14
,"Sheep liver, PROCESS Baking",31.2,673.174,31.2,673.174
,"Sheep liver, PROCESS Cooking in water",31.2,673.174,31.2,673.174
,"Sheep liver, PROCESS Frying",,7.26,145,925.54
,"Sheep liver, PROCESS Steaming",31.2,673.174,31.2,673.174
,"Smoked cooked sausage-deprecated, PROCESS Baking",9.7,368.5478,11.1,335.204
,"Smoked cooked sausage-deprecated, PROCESS Cooking in water",9,342.0512,12.6,509.408
,"Smoked cooked sausage-deprecated, PROCESS Steaming",9,343.6542,10.4,415.604
,"Smoked cooked sausage-deprecated, QUAL Low fat (naturally or reduced), PROCESS Baking",7.8,274.8822,7.8,274.8822
,"Smoked cooked sausage-deprecated, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",12.5,516.015,12.5,516.015
,Snack sausages (like Cabanos and landj�ger),1.8,338.687,1.8,338.687
,"Snack sausages (like Cabanos and landj�ger), QUAL Low fat (naturally or reduced)",0.7,654.463,0.7,654.463
,Teewurst-type sausage,7.4,417.334,6.64,561.529
,"Teewurst-type sausage, QUAL Low fat (naturally or reduced)",23.6,840.804,23.6,840.804
,"Teewurst-type sausage, QUAL Low sodium / reduced salt",4.4,417.334,4.4,417.334
,Thuringian sausage,9.3,401.644,9.3,401.644
,"Thuringian sausage, PROCESS Baking",10.3,386.658,10.3,386.658
,"Thuringian sausage, PROCESS Cooking in water",10.3,386.658,10.3,386.658
,"Thuringian sausage, PROCESS Steaming",10.3,386.658,10.3,386.658
,Tinned bulk sausages,8.3,337.854,7.2,534.883
,Tiroler speck,1.5,212.772,1.5,212.772
,"Tiroler speck, PROCESS Cooking in water",1.2,163.096,1.2,163.096
,"Tiroler speck, PROCESS Steaming",1.2,163.096,1.2,163.096
,Turkey fresh meat,30.7,591.6073,15,605.83
,"Turkey fresh meat, PROCESS Baking",20,592.9345,18,669.19
,"Turkey fresh meat, PROCESS Cooking in water",5.4,489.964,21,442.26
,"Turkey fresh meat, PROCESS Frying",,,16,759.22
,"Turkey fresh meat, PROCESS Steaming",5.4,489.964,21,442.26
,"Turkey liver, PROCESS Baking",178,592.574,178,592.574
,"Undefined mixed fresh meat, other species",,,10.7,548.917
,"Undefined mixed fresh meat, other species, PROCESS Baking",9.3,567.738,9.3,485.937
,"Undefined mixed fresh meat, other species, PROCESS Cooking in water",11.4,534.119,11.4,534.119
,"Undefined mixed fresh meat, other species, PROCESS Steaming",11.4,534.119,11.4,534.119
,"Undefined mixed poultry fresh meat, PROCESS Baking",21.57,624.532,21.57,624.532
,"Undefined mixed poultry fresh meat, PROCESS Cooking in water",21.57,624.532,21.57,624.532
,"Undefined mixed poultry fresh meat, PROCESS Steaming",21.57,624.532,21.57,624.532
,Veal kidney,175,606.877,165,531.217
,"Veal kidney, PROCESS Baking",199,528.368,204.4,569.56
,"Veal kidney, PROCESS Cooking in water",22.4,569.56,22.4,569.56
,"Veal kidney, PROCESS Steaming",22.4,569.56,22.4,569.56
,Veal liver,178,692.663,186,755.704
,"Veal liver, PROCESS Baking",117.6,710.785,171.8,631.114
,"Veal liver, PROCESS Cooking in water",118.9,521.327,118.9,521.327
,"Veal liver, PROCESS Frying",128,593.35,128,593.35
,"Veal liver, PROCESS Steaming",118.9,521.327,118.9,521.327
,Weisswurst,13.9,316.72,13.9,316.72
,"Wiener sausage, PROCESS Baking",10.3,411.741,10.3,411.741
,"Wiener sausage, PROCESS Cooking in water",8.3,410.99,7.44,269.261
,"Wiener sausage, PROCESS Steaming",8.3,410.99,17.5,411.741
,"Wiener sausage, QUAL Low fat (naturally or reduced), PROCESS Baking",0.4,467.526,0.4,467.526
,"Wiener sausage, QUAL Low fat (naturally or reduced), PROCESS Cooking in water",7.4,467.526,7.44,310.681
,"Wiener sausage, QUAL Low fat (naturally or reduced), PROCESS Steaming",0.4,467.526,0.4,467.526
,Wild boar fresh meat,5,571.943,5,571.943
,"Wild boar fresh meat, PROCESS Baking",,,15.8,707.98
,"Wild boar fresh meat, PROCESS Cooking in water",,,3.3,405.998
,"Wild boar fresh meat, PROCESS Steaming",,,3.3,405.998
,Wild goose fresh meat,0.3,653.223,0.3,653.223
,"Wild goose fresh meat, PROCESS Baking",0.3,888.18,0.3,888.18
,"Wild goose fresh meat, PROCESS Cooking in water",0.2,471.848,0.2,471.848
,"Wild goose fresh meat, PROCESS Steaming",0.2,471.848,0.2,471.848
Milk and dairy products,Acidophilus milk,1.98,392.073,1.13,352.558
,"Acidophilus milk, QUAL Semi-skimmed",1.4,377.475,1.13,352.298
,"Acidophilus milk, QUAL Skim",1.3,385.502,1.13,352.32
,Ass milk,1.1,250.932,1.1,250.932
,Buttermilk,1.55,362.803,1.1,379.6
,"Buttermilk, QUAL Fat free",1.13,351.708,1.13,351.708
,"Buttermilk, QUAL Low fat (naturally or reduced)",3.2,413.89,1.13,352.508
,"Cheese, asiago",31.7,1552.99,31.7,1552.99
,"Cheese, bavarian blue",1.2,1055.37,1.2,1055.37
,"Cheese, beaufort",16.04,1886.73,16.04,1886.73
,"Cheese, bleu d'auvergne",,,,
,"Cheese, blue castello",9.23,990.74,9.2,1055.37
,"Cheese, brie",13.25,1160.522,10.6,602.78
,"Cheese, brie, QUAL Half fat or medium fat",15.65,1227.049,15.2,722.925
,"Cheese, butterkase",24,1839.967,24,1839.967
,"Cheese, butterkase, QUAL Half fat or medium fat",2,1840.763,2,1840.763
,"Cheese, butterkase, QUAL Low fat (naturally or reduced)",2,1840.763,2,1840.763
,"Cheese, caciocavallo",,1639.251,,1639.251
,"Cheese, caerphilly",23.1,1072.13,23.1,1072.13
,"Cheese, camembert",7.1,1307.48,15.1,603.62
,"Cheese, cantal",12.3,1449.82,12.3,1449.82
,"Cheese, chaource",12.6,323.13,12.6,323.13
,"Cheese, cheddar",19.1,1466.611,30.1,1321.84
,"Cheese, cheddar, QUAL Half fat or medium fat",24,2281.169,23.3,1620.73
,"Cheese, cheddar, QUAL Low fat (naturally or reduced)",1,2022.117,1,2022.155
,"Cheese, cheshire",17.5,1476.446,22.9,1076.73
,"Cheese, cheshire, QUAL Half fat or medium fat",31.4,1643.94,31.4,1336.81
,"Cheese, cheshire, QUAL Low fat (naturally or reduced)",1,1803.49,1,1803.49
,"Cheese, chevre mould ripened",12,1338.489,12.5,517.61
,"Cheese, comte",,,,
,"Cheese, coulommiers",12.8,1058.315,12.8,1058.315
,"Cheese, danbo",17.18,1287.798,17.8,1401.42
,"Cheese, danbo, QUAL Half fat or medium fat",20.52,1430.137,21,1751.84
,"Cheese, danbo, QUAL Low fat (naturally or reduced)",20.6,1368.385,22,2351.98
,"Cheese, edam",43.1,1524.738,16.1,1437.29
,"Cheese, edam, QUAL Half fat or medium fat",51.7,1605.96,51.8,1513.139
,"Cheese, edam, QUAL Low fat (naturally or reduced)",54.5,1580.727,54.6,1512.31
,"Cheese, emmental",40.6,1604.78,19,1697.477
,"Cheese, emmental, QUAL Half fat or medium fat",22,2280.849,22,2281.169
,"Cheese, emmental, QUAL Low fat (naturally or reduced)",1,2021.856,1,2022.117
,"Cheese, feta",7.3,1071.57,11.1,760.56
,"Cheese, feta, QUAL Low fat (naturally or reduced)",,,14.13,1197.165
,"Cheese, fourme d'ambert",8.6,1491.47,8.6,1491.47
,"Cheese, gorgonzola",5.2,1256.727,5.2,1113.697
,"Cheese, gouda",39.7,1539.605,17.7,1397.31
,"Cheese, gouda, QUAL Half fat or medium fat",2.2,1775.587,2.2,1775.587
,"Cheese, gouda, QUAL Low fat (naturally or reduced)",2.2,1775.587,2.2,1775.587
,"Cheese, grana padano",21.6,2258.618,21.6,2258.618
,"Cheese, gruyere",21.5,1757.748,18.6,1706.77
,"Cheese, gruyere, QUAL Half fat or medium fat",2,2281.169,2,2281.169
,"Cheese, gruyere, QUAL Low fat (naturally or reduced)",2,2281.169,2,2281.169
,"Cheese, leicester",23.2,1247.64,23.2,1247.64
,"Cheese, livarot",,,,
,"Cheese, maasdam",27.5,1623.46,27.5,1623.46
,"Cheese, mimolette",10.37,1512.44,10.37,1512.44
,"Cheese, morbier",17.5,1418.37,17.5,1418.37
,"Cheese, munster",17.38,1459.352,17.4,720.969
,"Cheese, nagelkaas, QUAL Half fat or medium fat",26.37,1658.5,26.37,1658.5
,"Cheese, nagelkaas, QUAL Low fat (naturally or reduced)",20.37,2031.38,20.37,2031.38
,"Cheese, ossau-iraty",,,,
,"Cheese, parmigiano reggiano",23.6,2258.618,23.9,2083.276
,"Cheese, pecorino romano",,1490.42,,1490.42
,"Cheese, pont l'eveque",,,,
,"Cheese, provolone",27,1490.715,27,1490.715
,"Cheese, provolone, QUAL Half fat or medium fat",2,1514.542,2,1514.542
,"Cheese, provolone, QUAL Low fat (naturally or reduced)",2,1751.773,2,1751.773
,"Cheese, reblochon",,,,
,"Cheese, roquefort",15.23,1130.482,14.4,1062.833
,"Cheese, saint marcellin",3.02,1438.537,3.02,1438.537
,"Cheese, saint nectaire",,,,
,"Cheese, scamorza",,811.78,,811.78
,"Cheese, stilton",15,820.41,15.2,761.97
,"Cheese, tilsit",41.5,1604.767,41.6,1450.496
,"Cheese, tilsit, QUAL Half fat or medium fat",2,1751.773,2,1751.773
,"Cheese, tilsit, QUAL Low fat (naturally or reduced)",3,2351.98,3,2351.98
,"Cheese, tomme de savoie",,,,
,"Cheese, trappist",2,1346.357,2,1346.357
,"Cheese, trappist, QUAL Half fat or medium fat",2,1397.933,2,1397.933
,"Cheese, trappist, QUAL Low fat (naturally or reduced)",2,1397.933,2,1397.933
,"Cheese, white stilton",19,820.177,19.3,627.167
,"Cheese, white stilton, QUAL Half fat or medium fat",1,820.177,1,820.177
